frame,p1_tko,p3_tko,diff,win,p1_intensity,p3_intensity,frame_diff
831,7,5,-2,0.0,125.375,126.91666666666667,
1650,7,6,-1,0.0,125.375,127.81818181818181,819.0
2319,7,4,-3,0.0,125.5,157.1,669.0
3203,7,6,-1,0.0,125.375,128.1818181818182,884.0
3885,7,4,-3,0.0,125.5,157.2,682.0
4609,5,7,2,1.0,138.91666666666666,132.625,724.0
5255,7,4,-3,0.0,126.0,157.1,646.0
5900,7,3,-4,0.0,126.5,135.44444444444446,645.0
6649,7,5,-2,0.0,125.875,127.16666666666667,749.0
7350,7,5,-2,0.0,125.875,127.08333333333333,701.0
8118,6,7,1,1.0,140.54545454545453,133.0,768.0
8979,7,5,-2,0.0,125.375,126.83333333333333,861.0
9562,7,4,-3,0.0,125.5,157.0,583.0
10276,7,3,-4,0.0,125.5,135.44444444444446,714.0
11009,7,4,-3,0.0,125.75,157.2,733.0
11838,7,6,-1,0.0,125.875,128.0909090909091,829.0
12583,7,5,-2,0.0,125.5,126.91666666666667,745.0
13342,7,5,-2,0.0,126.625,127.16666666666667,759.0
13829,7,4,-3,0.0,126.0,157.2,487.0
14516,7,5,-2,0.0,126.5,127.0,687.0
15196,7,4,-3,0.0,125.75,156.9,680.0
15884,7,4,-3,0.0,125.625,157.2,688.0
16758,7,5,-2,0.0,125.375,126.91666666666667,874.0
17509,7,5,-2,0.0,125.625,127.0,751.0
18367,7,6,-1,0.0,125.5,128.27272727272728,858.0
18922,7,4,-3,0.0,125.375,157.1,555.0
19628,7,5,-2,0.0,125.625,126.58333333333333,706.0
20464,7,6,-1,0.0,126.375,128.0909090909091,836.0
21150,7,4,-3,0.0,126.5,157.1,686.0
21932,7,5,-2,0.0,125.875,126.83333333333333,782.0
22620,7,4,-3,0.0,126.0,157.2,688.0
23439,7,6,-1,0.0,125.625,127.9090909090909,819.0
24212,5,7,2,1.0,138.83333333333334,132.5,773.0
24890,7,5,-2,0.0,125.375,126.66666666666667,678.0
25515,7,4,-3,0.0,125.5,157.4,625.0
26166,7,5,-2,0.0,125.875,127.08333333333333,651.0
27002,6,7,1,1.0,140.8181818181818,132.375,836.0
27777,7,5,-2,0.0,126.5,126.83333333333333,775.0
28426,7,4,-3,0.0,125.875,157.0,649.0
29047,7,3,-4,0.0,125.875,135.33333333333334,621.0
29857,7,5,-2,0.0,125.875,126.66666666666667,810.0
30791,7,6,-1,0.0,126.375,127.72727272727273,934.0
31638,7,6,-1,0.0,126.375,127.9090909090909,847.0
32308,7,4,-3,0.0,126.375,157.1,670.0
33210,7,6,-1,0.0,125.375,128.1818181818182,902.0
34130,7,5,-2,0.0,125.25,126.5,920.0
34859,7,4,-3,0.0,125.625,157.1,729.0
35487,7,3,-4,0.0,126.125,135.33333333333334,628.0
36157,7,5,-2,0.0,125.5,126.66666666666667,670.0
36835,7,5,-2,0.0,126.0,127.08333333333333,678.0
37674,7,6,-1,0.0,127.25,127.72727272727273,839.0
38323,7,5,-2,0.0,125.25,126.66666666666667,649.0
39069,7,4,-3,0.0,126.25,157.2,746.0
39686,7,3,-4,0.0,126.875,135.22222222222223,617.0
40545,7,6,-1,0.0,125.625,127.81818181818181,859.0
41317,7,4,-3,0.0,125.375,157.1,772.0
42085,7,5,-2,0.0,125.25,126.91666666666667,768.0
42825,7,4,-3,0.0,125.375,157.1,740.0
43536,7,4,-3,0.0,125.75,157.5,711.0
44276,7,5,-2,0.0,125.375,126.66666666666667,740.0
45105,7,4,-3,0.0,125.75,157.2,829.0
46039,7,6,-1,0.0,125.875,127.9090909090909,934.0
46875,6,7,1,1.0,142.63636363636363,132.75,836.0
47609,7,6,-1,0.0,125.125,128.0,734.0
48368,7,5,-2,0.0,126.0,126.5,759.0
49084,7,4,-3,0.0,125.375,157.1,716.0
49903,7,6,-1,0.0,125.625,128.1818181818182,819.0
50684,7,5,-2,0.0,126.125,126.66666666666667,781.0
51396,7,4,-3,0.0,126.25,157.5,712.0
52167,7,6,-1,0.0,125.5,127.81818181818181,771.0
52700,7,3,-4,0.0,126.25,135.44444444444446,533.0
53541,7,6,-1,0.0,125.375,127.9090909090909,841.0
54268,7,5,-2,0.0,125.875,126.83333333333333,727.0
55146,7,5,-2,0.0,126.5,126.58333333333333,878.0
55880,7,5,-2,0.0,126.25,126.5,734.0
56460,7,4,-3,0.0,125.5,157.0,580.0
57288,7,6,-1,0.0,125.5,128.0909090909091,828.0
57947,7,5,-2,0.0,125.5,127.0,659.0
58678,7,6,-1,0.0,125.375,128.0909090909091,731.0
59423,7,4,-3,0.0,125.5,157.2,745.0
60191,6,7,1,1.0,140.27272727272728,133.125,768.0
