frame,p1_tko,p3_tko,diff,win,p1_intensity,p3_intensity,frame_diff
757,7,5,-2,0.0,126.375,126.83333333333333,
1560,6,7,1,1.0,139.54545454545453,132.5,803.0
2348,7,5,-2,0.0,126.625,127.0,788.0
3191,6,7,1,1.0,140.0,132.625,843.0
3978,7,6,-1,0.0,125.5,127.72727272727273,787.0
4822,7,6,-1,0.0,125.875,127.9090909090909,844.0
5470,7,5,-2,0.0,125.0,126.66666666666667,648.0
6225,7,4,-3,0.0,125.5,157.4,755.0
6920,6,7,1,1.0,139.27272727272728,132.625,695.0
7776,7,6,-1,0.0,125.5,127.72727272727273,856.0
8487,7,6,-1,0.0,126.5,128.0909090909091,711.0
9405,7,5,-2,0.0,125.375,126.91666666666667,918.0
10308,7,6,-1,0.0,125.5,127.9090909090909,903.0
11085,6,7,1,1.0,140.36363636363637,132.5,777.0
11829,6,7,1,1.0,140.45454545454547,132.75,744.0
12460,7,4,-3,0.0,125.0,157.3,631.0
13067,7,5,-2,0.0,125.5,126.41666666666667,607.0
13899,7,5,-2,0.0,125.5,126.58333333333333,832.0
14668,7,5,-2,0.0,125.875,126.66666666666667,769.0
15202,7,3,-4,0.0,126.5,135.22222222222223,534.0
15888,7,5,-2,0.0,125.875,126.83333333333333,686.0
16717,6,7,1,1.0,140.0909090909091,132.75,829.0
17252,7,2,-5,0.0,126.125,134.66666666666666,535.0
17890,7,4,-3,0.0,126.75,157.1,638.0
18502,7,3,-4,0.0,125.375,135.33333333333334,612.0
19280,7,5,-2,0.0,125.625,126.5,778.0
20069,7,5,-2,0.0,125.125,126.83333333333333,789.0
20775,7,4,-3,0.0,126.375,157.1,706.0
21630,7,5,-2,0.0,126.25,127.0,855.0
22334,7,4,-3,0.0,125.375,157.1,704.0
22983,7,5,-2,0.0,125.875,126.83333333333333,649.0
23931,6,6,0,,140.27272727272728,127.45454545454545,948.0
24493,7,6,-1,0.0,126.25,127.9090909090909,562.0
25197,7,6,-1,0.0,126.5,128.36363636363637,704.0
25959,7,6,-1,0.0,126.5,127.9090909090909,762.0
26718,7,4,-3,0.0,125.875,156.9,759.0
27609,7,6,-1,0.0,125.25,127.81818181818181,891.0
28401,7,4,-3,0.0,125.875,157.2,792.0
29227,6,7,1,1.0,139.8181818181818,132.75,826.0
29930,7,4,-3,0.0,125.5,157.2,703.0
30672,7,4,-3,0.0,125.875,157.5,742.0
31455,7,5,-2,0.0,125.375,127.0,783.0
31975,7,4,-3,0.0,125.25,156.9,520.0
32642,7,5,-2,0.0,126.375,126.83333333333333,667.0
33441,6,7,1,1.0,140.1818181818182,132.625,799.0
34229,6,7,1,1.0,140.1818181818182,132.75,788.0
34841,7,4,-3,0.0,126.5,157.0,612.0
35463,7,4,-3,0.0,126.5,157.2,622.0
36118,7,5,-2,0.0,125.5,126.91666666666667,655.0
36870,7,5,-2,0.0,125.625,126.75,752.0
37708,7,5,-2,0.0,125.625,126.91666666666667,838.0
38201,7,4,-3,0.0,126.625,157.1,493.0
39055,7,6,-1,0.0,126.5,128.0,854.0
39836,7,5,-2,0.0,125.625,126.83333333333333,781.0
40376,7,5,-2,0.0,125.5,126.75,540.0
41207,6,7,1,1.0,140.0909090909091,132.375,831.0
42165,6,7,1,1.0,140.0,132.5,958.0
42916,7,5,-2,0.0,125.25,126.58333333333333,751.0
43624,6,7,1,1.0,140.1818181818182,133.0,708.0
44309,7,4,-3,0.0,126.5,157.5,685.0
45251,5,7,2,1.0,137.0,132.75,942.0
45997,7,5,-2,0.0,126.5,127.0,746.0
46754,7,6,-1,0.0,125.375,128.0,757.0
47526,7,3,-4,0.0,125.625,135.33333333333334,772.0
48443,6,7,1,1.0,140.1818181818182,132.5,917.0
49293,7,6,-1,0.0,126.125,128.0,850.0
49945,7,4,-3,0.0,126.25,157.2,652.0
50856,7,6,-1,0.0,126.5,128.0,911.0
51558,7,4,-3,0.0,125.5,157.0,702.0
52233,7,6,-1,0.0,125.375,128.1818181818182,675.0
53001,7,4,-3,0.0,125.375,157.2,768.0
53736,7,6,-1,0.0,125.125,127.9090909090909,735.0
54546,6,7,1,1.0,140.0,132.5,810.0
55424,5,7,2,1.0,136.83333333333334,132.75,878.0
56272,7,6,-1,0.0,126.5,127.9090909090909,848.0
56733,7,3,-4,0.0,125.875,135.33333333333334,461.0
57317,7,5,-2,0.0,126.25,127.08333333333333,584.0
58018,7,4,-3,0.0,126.5,157.2,701.0
58736,5,7,2,1.0,136.83333333333334,132.375,718.0
59575,6,7,1,1.0,140.1818181818182,132.75,839.0
60411,7,6,-1,0.0,126.125,127.9090909090909,836.0
61050,7,4,-3,0.0,125.75,157.3,639.0
61887,7,6,-1,0.0,126.125,127.81818181818181,837.0
62413,7,4,-3,0.0,126.125,157.6,526.0
63122,6,7,1,1.0,140.0,132.625,709.0
63942,6,7,1,1.0,140.1818181818182,132.625,820.0
64609,7,6,-1,0.0,126.375,128.0,667.0
65274,6,7,1,1.0,140.27272727272728,132.75,665.0
65888,7,4,-3,0.0,126.375,157.2,614.0
66644,7,3,-4,0.0,125.5,135.22222222222223,756.0
67236,7,4,-3,0.0,125.625,157.0,592.0
67962,7,6,-1,0.0,125.5,128.54545454545453,726.0
68764,7,5,-2,0.0,125.5,127.0,802.0
69509,7,5,-2,0.0,125.5,127.0,745.0
70325,7,6,-1,0.0,125.75,128.0,816.0
71121,7,5,-2,0.0,126.5,126.83333333333333,796.0
71934,7,6,-1,0.0,125.5,128.0909090909091,813.0
72690,7,5,-2,0.0,125.5,126.83333333333333,756.0
73466,7,5,-2,0.0,126.375,126.66666666666667,776.0
73968,7,3,-4,0.0,125.625,135.44444444444446,502.0
74789,7,6,-1,0.0,125.75,128.27272727272728,821.0
75488,7,5,-2,0.0,125.375,126.41666666666667,699.0
76185,4,7,3,1.0,146.1,132.375,697.0
76946,7,5,-2,0.0,125.875,127.0,761.0
77619,7,4,-3,0.0,126.25,157.0,673.0
