frame,p1_tko,p3_tko,diff,win,p1_intensity,p3_intensity,frame_diff
973,6,7,1,1.0,140.54545454545453,132.625,
1961,7,6,-1,0.0,126.75,128.0909090909091,988.0
2860,7,6,-1,0.0,125.5,127.81818181818181,899.0
3507,7,5,-2,0.0,125.5,127.0,647.0
4427,6,7,1,1.0,140.36363636363637,132.75,920.0
5382,7,4,-3,0.0,125.375,157.4,955.0
6281,7,5,-2,0.0,125.875,127.0,899.0
7250,5,6,1,1.0,136.91666666666666,127.63636363636364,969.0
7918,7,3,-4,0.0,126.125,135.44444444444446,668.0
8656,7,5,-2,0.0,125.75,126.33333333333333,738.0
9257,7,3,-4,0.0,126.375,135.44444444444446,601.0
9812,7,5,-2,0.0,125.625,126.75,555.0
10784,6,6,0,,140.1818181818182,127.45454545454545,972.0
11744,7,6,-1,0.0,125.5,128.0909090909091,960.0
12673,7,6,-1,0.0,126.375,127.9090909090909,929.0
13567,7,5,-2,0.0,125.875,126.75,894.0
14545,6,7,1,1.0,139.9090909090909,133.0,978.0
15490,7,6,-1,0.0,125.875,127.9090909090909,945.0
16233,7,4,-3,0.0,125.125,157.2,743.0
17203,6,6,0,,140.27272727272728,127.45454545454545,970.0
17988,6,7,1,1.0,140.54545454545453,132.5,785.0
18680,7,5,-2,0.0,126.375,126.58333333333333,692.0
19587,7,6,-1,0.0,125.75,128.45454545454547,907.0
20569,7,5,-2,0.0,125.875,126.83333333333333,982.0
21373,7,4,-3,0.0,126.5,157.1,804.0
22189,7,5,-2,0.0,125.375,126.66666666666667,816.0
22817,7,3,-4,0.0,125.75,135.44444444444446,628.0
23424,7,3,-4,0.0,126.0,135.66666666666666,607.0
24261,7,5,-2,0.0,125.75,126.83333333333333,837.0
25024,7,4,-3,0.0,125.5,157.1,763.0
25745,7,4,-3,0.0,125.625,157.1,721.0
26560,7,6,-1,0.0,125.875,127.72727272727273,815.0
27174,7,3,-4,0.0,125.875,135.33333333333334,614.0
27940,7,3,-4,0.0,126.625,135.44444444444446,766.0
28886,6,7,1,1.0,140.63636363636363,132.625,946.0
29645,7,4,-3,0.0,126.0,157.1,759.0
30624,6,6,0,,140.36363636363637,127.27272727272727,979.0
31476,7,5,-2,0.0,125.375,126.66666666666667,852.0
32325,7,5,-2,0.0,126.5,127.0,849.0
32916,7,3,-4,0.0,125.25,135.44444444444446,591.0
33906,6,6,0,,140.36363636363637,127.63636363636364,990.0
34781,7,5,-2,0.0,125.5,126.66666666666667,875.0
35616,7,4,-3,0.0,126.125,157.3,835.0
36540,7,6,-1,0.0,125.5,127.9090909090909,924.0
37262,7,4,-3,0.0,125.5,157.4,722.0
38125,7,4,-3,0.0,126.0,157.9,863.0
38716,7,3,-4,0.0,126.625,135.44444444444446,591.0
39384,7,3,-4,0.0,125.5,135.66666666666666,668.0
40228,7,4,-3,0.0,125.5,157.1,844.0
41171,7,5,-2,0.0,126.375,126.83333333333333,943.0
42860,7,4,-3,0.0,126.375,157.2,1689.0
44438,6,7,1,1.0,140.8181818181818,132.5,1578.0
46198,6,6,0,,140.27272727272728,127.36363636363636,1760.0
48362,7,4,-3,0.0,125.375,157.2,2164.0
50641,7,6,-1,0.0,125.875,127.63636363636364,2279.0
53301,7,5,-2,0.0,125.375,126.66666666666667,2660.0
55221,6,7,1,1.0,140.27272727272728,132.75,1920.0
56710,6,7,1,1.0,140.27272727272728,132.75,1489.0
57859,7,6,-1,0.0,126.375,127.9090909090909,1149.0
60000,7,5,-2,0.0,125.875,126.66666666666667,2141.0
61553,7,4,-3,0.0,125.75,157.2,1553.0
63011,7,5,-2,0.0,125.5,127.16666666666667,1458.0
65256,7,3,-4,0.0,126.125,135.33333333333334,2245.0
67632,7,6,-1,0.0,126.5,128.1818181818182,2376.0
68679,7,4,-3,0.0,126.375,157.1,1047.0
70805,7,4,-3,0.0,125.875,157.1,2126.0
72061,7,6,-1,0.0,125.375,127.9090909090909,1256.0
73546,6,6,0,,140.45454545454547,127.27272727272727,1485.0
75680,7,4,-3,0.0,126.375,157.1,2134.0
77394,6,6,0,,140.27272727272728,127.45454545454545,1714.0
78996,7,5,-2,0.0,125.5,126.66666666666667,1602.0
80587,7,5,-2,0.0,126.5,126.66666666666667,1591.0
81771,7,6,-1,0.0,125.75,128.0909090909091,1184.0
83436,7,6,-1,0.0,126.125,127.9090909090909,1665.0
84974,7,5,-2,0.0,125.75,126.66666666666667,1538.0
86314,7,3,-4,0.0,125.375,135.44444444444446,1340.0
