frame,p1_tko,p3_tko,diff,win,p1_intensity,p3_intensity,frame_diff
881,5,7,2,1.0,137.16666666666666,132.75,
1691,4,7,3,1.0,147.0,132.5,810.0
2557,4,7,3,1.0,147.1,132.5,866.0
3336,4,7,3,1.0,147.0,132.5,779.0
4041,5,7,2,1.0,137.58333333333334,133.0,705.0
4858,6,7,1,1.0,140.27272727272728,132.5,817.0
5648,5,7,2,1.0,137.25,132.625,790.0
6416,5,7,2,1.0,136.83333333333334,132.625,768.0
6965,3,7,4,1.0,135.0,132.5,549.0
7864,6,7,1,1.0,140.36363636363637,132.5,899.0
8535,3,7,4,1.0,134.33333333333334,132.75,671.0
9177,3,7,4,1.0,135.11111111111111,132.375,642.0
10065,5,7,2,1.0,137.25,132.75,888.0
10756,5,7,2,1.0,137.16666666666666,133.0,691.0
11663,5,7,2,1.0,137.0,132.5,907.0
12381,4,7,3,1.0,147.3,132.75,718.0
13207,5,7,2,1.0,137.5,132.25,826.0
13982,5,7,2,1.0,137.0,132.875,775.0
14820,5,7,2,1.0,137.16666666666666,132.375,838.0
15494,5,7,2,1.0,137.25,132.75,674.0
16303,3,7,4,1.0,135.0,132.75,809.0
17074,4,7,3,1.0,147.1,132.375,771.0
17875,6,7,1,1.0,140.36363636363637,132.875,801.0
18455,5,7,2,1.0,136.75,133.0,580.0
19348,5,7,2,1.0,137.25,133.25,893.0
20016,4,7,3,1.0,147.2,133.125,668.0
20802,4,7,3,1.0,147.1,132.75,786.0
21577,6,7,1,1.0,139.9090909090909,132.75,775.0
22371,5,7,2,1.0,137.33333333333334,132.5,794.0
23063,4,7,3,1.0,147.1,133.0,692.0
23721,4,7,3,1.0,147.0,132.5,658.0
24589,4,7,3,1.0,147.3,132.625,868.0
25294,5,7,2,1.0,137.0,132.625,705.0
25883,3,7,4,1.0,135.22222222222223,132.5,589.0
26567,4,7,3,1.0,147.2,132.5,684.0
27126,3,7,4,1.0,134.88888888888889,132.625,559.0
27928,5,7,2,1.0,137.0,132.5,802.0
28642,4,7,3,1.0,146.7,133.0,714.0
29220,3,7,4,1.0,134.88888888888889,132.25,578.0
30115,6,7,1,1.0,139.8181818181818,132.5,895.0
30926,5,7,2,1.0,137.25,132.75,811.0
31620,3,7,4,1.0,134.66666666666666,132.875,694.0
32103,3,7,4,1.0,135.22222222222223,132.5,483.0
32887,6,7,1,1.0,140.0909090909091,132.75,784.0
