frame,p1_tko,p3_tko,diff,win,p1_intensity,p3_intensity,frame_diff
1222,5,7,2,1.0,137.08333333333334,132.5,
2302,5,7,2,1.0,137.16666666666666,132.5,1080.0
3292,4,7,3,1.0,147.0,132.5,990.0
4802,6,6,0,,140.0909090909091,127.45454545454545,1510.0
5975,5,7,2,1.0,137.25,132.5,1173.0
7305,5,7,2,1.0,137.25,132.25,1330.0
8817,6,7,1,1.0,140.63636363636363,132.5,1512.0
10293,6,7,1,1.0,140.0909090909091,132.5,1476.0
11473,5,7,2,1.0,137.66666666666666,132.5,1180.0
12687,5,7,2,1.0,137.25,132.5,1214.0
14302,6,6,0,,140.0909090909091,127.45454545454545,1615.0
16090,6,7,1,1.0,140.0909090909091,132.5,1788.0
17402,5,6,1,1.0,137.25,127.45454545454545,1312.0
18820,6,7,1,1.0,140.54545454545453,132.5,1418.0
20030,6,6,0,,140.45454545454547,127.36363636363636,1210.0
21344,6,6,0,,140.1818181818182,127.45454545454545,1314.0
22459,4,7,3,1.0,147.3,132.75,1115.0
23697,4,7,3,1.0,147.3,132.75,1238.0
25473,5,7,2,1.0,138.0,132.75,1776.0
26691,5,7,2,1.0,137.25,132.75,1218.0
28029,5,7,2,1.0,137.25,132.5,1338.0
29173,5,7,2,1.0,137.08333333333334,132.375,1144.0
30940,5,7,2,1.0,137.16666666666666,132.5,1767.0
32181,6,6,0,,140.0,127.54545454545455,1241.0
33299,5,7,2,1.0,137.0,132.375,1118.0
34808,5,7,2,1.0,137.0,132.5,1509.0
36558,5,6,1,1.0,137.08333333333334,127.27272727272727,1750.0
37846,5,7,2,1.0,137.25,132.5,1288.0
39234,5,7,2,1.0,137.41666666666666,132.5,1388.0
40129,5,7,2,1.0,137.16666666666666,132.5,895.0
41226,7,5,-2,0.0,124.125,126.75,1097.0
42905,5,7,2,1.0,137.08333333333334,132.5,1679.0
44140,6,6,0,,140.0909090909091,127.45454545454545,1235.0
45347,6,7,1,1.0,139.8181818181818,132.5,1207.0
46494,7,4,-3,0.0,124.25,157.2,1147.0
47826,7,5,-2,0.0,124.375,126.66666666666667,1332.0
49070,4,7,3,1.0,147.2,132.5,1244.0
50555,5,7,2,1.0,137.0,132.5,1485.0
51773,5,7,2,1.0,137.25,132.5,1218.0
52806,7,6,-1,0.0,124.375,128.0,1033.0
53802,5,7,2,1.0,137.25,132.75,996.0
55302,6,6,0,,140.27272727272728,127.45454545454545,1500.0
56805,5,7,2,1.0,137.0,132.5,1503.0
58160,5,7,2,1.0,137.41666666666666,132.625,1355.0
59284,6,7,1,1.0,140.54545454545453,132.75,1124.0
60656,7,6,-1,0.0,124.125,128.0909090909091,1372.0
62009,7,6,-1,0.0,124.125,127.9090909090909,1353.0
63985,7,6,-1,0.0,124.25,128.0,1976.0
65115,5,7,2,1.0,137.16666666666666,132.75,1130.0
66171,6,7,1,1.0,139.9090909090909,132.75,1056.0
67353,5,7,2,1.0,137.16666666666666,132.5,1182.0
68557,5,7,2,1.0,137.0,132.75,1204.0
69692,5,7,2,1.0,136.83333333333334,132.75,1135.0
71003,4,7,3,1.0,147.2,132.5,1311.0
72176,5,7,2,1.0,137.08333333333334,132.625,1173.0
73354,5,6,1,1.0,137.08333333333334,127.45454545454545,1178.0
74334,5,7,2,1.0,137.16666666666666,132.625,980.0
76119,5,7,2,1.0,136.91666666666666,132.5,1785.0
77570,7,6,-1,0.0,124.125,127.9090909090909,1451.0
78749,5,7,2,1.0,137.0,133.25,1179.0
79936,7,6,-1,0.0,124.0,127.9090909090909,1187.0
81176,5,7,2,1.0,137.16666666666666,132.5,1240.0
83028,7,5,-2,0.0,124.125,127.0,1852.0
83926,4,7,3,1.0,147.2,133.25,898.0
85223,5,7,2,1.0,136.75,132.25,1297.0
