frame,p1_tko,p3_tko,diff,win,p1_intensity,p3_intensity,frame_diff
701,4,7,3,1.0,147.3,132.5,
1487,4,7,3,1.0,147.4,132.5,786.0
2109,3,7,4,1.0,134.55555555555554,132.625,622.0
2669,4,7,3,1.0,147.1,132.75,560.0
3255,3,7,4,1.0,135.11111111111111,132.5,586.0
4037,5,7,2,1.0,137.25,132.5,782.0
4533,2,7,5,1.0,140.91666666666666,132.75,496.0
5273,5,7,2,1.0,136.58333333333334,132.75,740.0
6015,5,7,2,1.0,137.0,132.5,742.0
6713,6,7,1,1.0,140.0909090909091,132.5,698.0
7226,2,7,5,1.0,140.16666666666666,132.625,513.0
7898,4,7,3,1.0,147.0,132.5,672.0
8714,7,6,-1,0.0,126.125,128.0,816.0
9368,3,7,4,1.0,134.77777777777777,132.5,654.0
10080,5,7,2,1.0,137.08333333333334,133.0,712.0
10754,3,7,4,1.0,135.22222222222223,132.75,674.0
11443,3,7,4,1.0,135.33333333333334,132.5,689.0
12178,4,7,3,1.0,146.7,132.5,735.0
12818,3,7,4,1.0,135.0,132.5,640.0
13353,3,7,4,1.0,133.88888888888889,132.375,535.0
14114,5,7,2,1.0,136.91666666666666,132.5,761.0
14844,3,7,4,1.0,135.0,132.75,730.0
15644,5,7,2,1.0,137.41666666666666,132.5,800.0
16314,3,7,4,1.0,135.0,132.75,670.0
16916,3,7,4,1.0,135.22222222222223,132.75,602.0
17603,5,7,2,1.0,137.16666666666666,132.625,687.0
18226,4,7,3,1.0,147.3,132.75,623.0
18843,4,7,3,1.0,147.1,132.875,617.0
19722,6,7,1,1.0,140.0909090909091,132.375,879.0
20200,7,7,0,,89.0,132.375,478.0
20944,5,7,2,1.0,137.08333333333334,132.5,744.0
21592,4,7,3,1.0,146.8,132.75,648.0
22325,4,7,3,1.0,147.0,132.625,733.0
23004,4,7,3,1.0,147.0,132.75,679.0
23520,3,7,4,1.0,135.0,133.0,516.0
24264,5,7,2,1.0,137.16666666666666,132.625,744.0
24747,3,7,4,1.0,135.11111111111111,132.75,483.0
25564,6,7,1,1.0,140.36363636363637,132.75,817.0
26297,4,7,3,1.0,147.1,132.125,733.0
27093,4,7,3,1.0,147.3,132.75,796.0
27845,4,7,3,1.0,147.1,132.5,752.0
28496,3,7,4,1.0,135.11111111111111,132.75,651.0
29229,5,7,2,1.0,136.83333333333334,132.625,733.0
30133,6,7,1,1.0,140.63636363636363,132.5,904.0
30502,7,7,0,,88.25,132.75,369.0
31218,4,7,3,1.0,147.1,132.5,716.0
31977,5,7,2,1.0,137.0,132.75,759.0
32547,3,7,4,1.0,135.22222222222223,132.5,570.0
33081,3,7,4,1.0,135.11111111111111,132.75,534.0
33852,3,7,4,1.0,135.11111111111111,132.5,771.0
34455,4,7,3,1.0,147.0,132.625,603.0
35151,4,7,3,1.0,146.7,132.75,696.0
35806,5,7,2,1.0,136.33333333333334,132.5,655.0
36650,4,7,3,1.0,147.6,132.75,844.0
37380,7,6,-1,0.0,126.125,128.0909090909091,730.0
37999,4,7,3,1.0,147.5,132.75,619.0
38626,5,7,2,1.0,136.41666666666666,132.125,627.0
39307,4,7,3,1.0,146.8,132.625,681.0
40019,3,7,4,1.0,135.22222222222223,132.75,712.0
40704,5,7,2,1.0,137.25,132.5,685.0
41465,5,7,2,1.0,137.58333333333334,132.625,761.0
41958,4,7,3,1.0,147.0,132.75,493.0
42633,4,7,3,1.0,147.1,132.5,675.0
43402,4,7,3,1.0,147.1,132.5,769.0
44221,5,7,2,1.0,137.08333333333334,132.75,819.0
44970,4,7,3,1.0,147.1,132.75,749.0
45513,3,7,4,1.0,134.88888888888889,132.625,543.0
46363,7,5,-2,0.0,126.125,126.83333333333333,850.0
47205,5,7,2,1.0,137.16666666666666,132.5,842.0
47698,3,7,4,1.0,135.11111111111111,132.625,493.0
48482,4,7,3,1.0,147.0,132.75,784.0
49300,5,7,2,1.0,137.0,132.75,818.0
49834,3,7,4,1.0,135.0,132.625,534.0
50534,6,7,1,1.0,140.45454545454547,132.5,700.0
51378,6,7,1,1.0,140.0909090909091,132.5,844.0
