frame,p1_tko,p3_tko,diff,win,p1_intensity,p3_intensity,frame_diff
944,6,7,1,1.0,140.0,132.5,
1763,5,7,2,1.0,136.91666666666666,132.5,819.0
2811,6,6,0,,140.1818181818182,127.36363636363636,1048.0
3612,5,7,2,1.0,137.25,132.75,801.0
4396,4,7,3,1.0,147.1,132.75,784.0
5195,6,7,1,1.0,140.36363636363637,132.625,799.0
5859,3,7,4,1.0,134.77777777777777,132.875,664.0
6674,7,5,-2,0.0,126.5,127.0,815.0
7654,6,7,1,1.0,140.72727272727272,132.375,980.0
8459,5,7,2,1.0,136.91666666666666,132.875,805.0
9437,5,7,2,1.0,137.25,132.75,978.0
10376,5,7,2,1.0,137.25,132.5,939.0
11294,6,7,1,1.0,140.54545454545453,132.75,918.0
12054,4,7,3,1.0,147.1,132.75,760.0
12880,5,7,2,1.0,137.0,132.5,826.0
13751,5,7,2,1.0,137.0,132.625,871.0
14549,3,7,4,1.0,134.88888888888889,132.75,798.0
15443,4,7,3,1.0,147.3,132.625,894.0
16260,5,7,2,1.0,136.91666666666666,132.125,817.0
17153,5,7,2,1.0,137.25,132.75,893.0
17937,4,7,3,1.0,147.1,132.875,784.0
18920,6,6,0,,140.0909090909091,127.54545454545455,983.0
19856,6,7,1,1.0,140.1818181818182,132.75,936.0
20806,5,6,1,1.0,137.41666666666666,127.81818181818181,950.0
21642,6,7,1,1.0,140.0909090909091,132.125,836.0
22519,4,7,3,1.0,147.3,132.5,877.0
23366,4,7,3,1.0,147.3,132.5,847.0
24054,4,7,3,1.0,147.3,132.625,688.0
24871,4,7,3,1.0,147.2,132.5,817.0
25620,4,7,3,1.0,146.9,132.375,749.0
26576,6,6,0,,140.0909090909091,127.36363636363636,956.0
27453,6,7,1,1.0,140.63636363636363,132.5,877.0
28416,6,6,0,,139.45454545454547,126.63636363636364,963.0
29076,4,7,3,1.0,147.0,132.875,660.0
29940,5,7,2,1.0,137.08333333333334,132.5,864.0
30715,3,7,4,1.0,134.77777777777777,132.5,775.0
31718,7,6,-1,0.0,127.625,127.9090909090909,1003.0
32769,6,6,0,,140.1818181818182,127.45454545454545,1051.0
33348,3,7,4,1.0,135.22222222222223,132.625,579.0
34262,5,7,2,1.0,136.75,132.5,914.0
35176,5,7,2,1.0,137.0,132.75,914.0
35923,3,7,4,1.0,135.22222222222223,132.75,747.0
36739,6,7,1,1.0,140.63636363636363,132.75,816.0
37715,6,6,0,,139.8181818181818,127.36363636363636,976.0
38470,3,7,4,1.0,134.88888888888889,132.75,755.0
39406,4,7,3,1.0,147.1,132.5,936.0
40265,7,6,-1,0.0,127.375,128.36363636363637,859.0
41034,4,7,3,1.0,146.8,132.625,769.0
41752,5,7,2,1.0,137.16666666666666,132.5,718.0
42482,4,7,3,1.0,147.2,132.75,730.0
43315,4,7,3,1.0,147.4,132.75,833.0
43921,4,7,3,1.0,147.1,132.5,606.0
44567,2,7,5,1.0,140.75,132.5,646.0
45278,2,7,5,1.0,140.83333333333334,132.75,711.0
46070,7,6,-1,0.0,126.625,127.81818181818181,792.0
46892,6,7,1,1.0,140.0909090909091,132.75,822.0
47827,6,7,1,1.0,140.1818181818182,132.75,935.0
48515,4,7,3,1.0,147.1,132.75,688.0
49374,6,7,1,1.0,140.0909090909091,132.25,859.0
50261,5,7,2,1.0,137.08333333333334,132.5,887.0
51212,5,7,2,1.0,137.25,132.5,951.0
52167,5,7,2,1.0,137.25,133.25,955.0
53174,5,7,2,1.0,137.41666666666666,132.5,1007.0
53913,4,7,3,1.0,147.0,132.5,739.0
54756,4,7,3,1.0,147.2,132.5,843.0
55513,5,7,2,1.0,137.0,132.5,757.0
56466,6,6,0,,140.36363636363637,127.45454545454545,953.0
57091,3,7,4,1.0,135.22222222222223,132.625,625.0
57920,4,7,3,1.0,147.0,132.75,829.0
58820,6,7,1,1.0,140.36363636363637,132.875,900.0
59664,5,7,2,1.0,137.33333333333334,132.75,844.0
60640,6,6,0,,140.0909090909091,127.45454545454545,976.0
61377,4,7,3,1.0,147.0,132.25,737.0
62172,5,7,2,1.0,137.0,132.5,795.0
62888,5,7,2,1.0,137.08333333333334,132.5,716.0
63864,5,6,1,1.0,136.66666666666666,127.72727272727273,976.0
64695,5,7,2,1.0,137.08333333333334,132.75,831.0
65454,4,7,3,1.0,148.3,132.75,759.0
66404,7,5,-2,0.0,127.375,126.66666666666667,950.0
67230,4,7,3,1.0,147.0,132.75,826.0
68092,5,7,2,1.0,137.0,132.625,862.0
69035,6,6,0,,139.9090909090909,127.0909090909091,943.0
69984,4,7,3,1.0,147.2,132.5,949.0
70802,5,7,2,1.0,136.83333333333334,132.75,818.0
71513,3,7,4,1.0,135.11111111111111,132.75,711.0
72414,5,7,2,1.0,137.41666666666666,132.625,901.0
73194,5,7,2,1.0,137.08333333333334,132.5,780.0
73909,4,7,3,1.0,147.1,132.75,715.0
74870,5,6,1,1.0,137.25,127.45454545454545,961.0
75777,6,7,1,1.0,139.9090909090909,132.5,907.0
76763,5,7,2,1.0,137.0,132.875,986.0
77719,5,6,1,1.0,137.41666666666666,127.63636363636364,956.0
78549,4,7,3,1.0,147.1,132.5,830.0
79537,5,6,1,1.0,137.41666666666666,127.45454545454545,988.0
80416,6,7,1,1.0,140.27272727272728,132.25,879.0
81129,4,7,3,1.0,147.4,132.5,713.0
81673,7,7,0,,88.5,132.75,544.0
82554,6,7,1,1.0,140.72727272727272,132.5,881.0
83470,4,7,3,1.0,147.1,132.5,916.0
84275,4,7,3,1.0,147.1,132.5,805.0
85051,4,7,3,1.0,147.4,132.5,776.0
85872,4,7,3,1.0,147.1,132.5,821.0
