frame,p1_tko,p3_tko,diff,win,p1_intensity,p3_intensity,frame_diff
850,7,6,-1,0.0,126.125,128.63636363636363,
1478,7,3,-4,0.0,125.75,135.33333333333334,628.0
2117,7,5,-2,0.0,125.75,126.66666666666667,639.0
2782,7,5,-2,0.0,125.125,126.66666666666667,665.0
3434,7,5,-2,0.0,125.875,126.83333333333333,652.0
4072,7,5,-2,0.0,125.5,127.08333333333333,638.0
4730,7,6,-1,0.0,125.75,127.81818181818181,658.0
5604,7,6,-1,0.0,126.5,127.9090909090909,874.0
6400,7,6,-1,0.0,125.5,127.9090909090909,796.0
6941,7,3,-4,0.0,126.5,135.44444444444446,541.0
7644,7,6,-1,0.0,126.375,127.9090909090909,703.0
8348,7,4,-3,0.0,125.875,157.1,704.0
9034,7,6,-1,0.0,126.0,128.1818181818182,686.0
9602,7,4,-3,0.0,126.5,157.2,568.0
10348,7,4,-3,0.0,125.625,157.5,746.0
10918,7,4,-3,0.0,125.375,157.1,570.0
11737,7,6,-1,0.0,125.625,128.0,819.0
12310,7,5,-2,0.0,125.625,127.0,573.0
12882,7,3,-4,0.0,126.125,135.33333333333334,572.0
13574,7,4,-3,0.0,127.0,157.1,692.0
14149,7,3,-4,0.0,125.5,135.33333333333334,575.0
14940,7,6,-1,0.0,125.75,128.1818181818182,791.0
15620,7,5,-2,0.0,126.25,126.91666666666667,680.0
16413,7,5,-2,0.0,126.0,126.83333333333333,793.0
17120,7,5,-2,0.0,126.25,127.0,707.0
17890,7,5,-2,0.0,125.75,126.75,770.0
18694,7,5,-2,0.0,125.875,127.16666666666667,804.0
19467,7,5,-2,0.0,126.5,127.0,773.0
20210,7,6,-1,0.0,125.25,128.27272727272728,743.0
20792,7,4,-3,0.0,125.25,157.0,582.0
21520,6,7,1,1.0,140.0,132.5,728.0
22193,7,5,-2,0.0,125.125,127.08333333333333,673.0
22942,7,5,-2,0.0,125.25,126.83333333333333,749.0
23644,7,6,-1,0.0,126.0,128.1818181818182,702.0
24359,7,6,-1,0.0,125.875,127.81818181818181,715.0
25316,7,6,-1,0.0,125.625,128.0909090909091,957.0
26175,6,7,1,1.0,140.1818181818182,132.75,859.0
26959,5,7,2,1.0,137.08333333333334,132.875,784.0
27428,7,4,-3,0.0,125.25,157.0,469.0
28103,7,4,-3,0.0,125.625,157.1,675.0
28754,7,4,-3,0.0,125.5,157.1,651.0
29514,7,5,-2,0.0,126.5,127.0,760.0
30277,7,6,-1,0.0,125.625,127.9090909090909,763.0
30994,7,6,-1,0.0,126.125,128.45454545454547,717.0
31600,7,4,-3,0.0,125.75,157.3,606.0
32206,5,7,2,1.0,136.66666666666666,132.5,606.0
32868,7,5,-2,0.0,125.625,126.83333333333333,662.0
33666,7,5,-2,0.0,125.625,126.83333333333333,798.0
34346,7,5,-2,0.0,126.0,126.83333333333333,680.0
35091,6,7,1,1.0,140.1818181818182,132.875,745.0
35819,7,5,-2,0.0,126.125,126.83333333333333,728.0
36549,7,5,-2,0.0,126.125,126.75,730.0
37238,7,5,-2,0.0,126.125,126.58333333333333,689.0
38064,5,7,2,1.0,136.91666666666666,132.875,826.0
38800,7,5,-2,0.0,125.375,126.75,736.0
39351,7,4,-3,0.0,125.5,157.1,551.0
40041,7,5,-2,0.0,125.625,126.83333333333333,690.0
40786,5,7,2,1.0,136.83333333333334,132.625,745.0
41507,7,4,-3,0.0,125.5,157.1,721.0
42237,7,5,-2,0.0,126.0,127.16666666666667,730.0
43003,7,5,-2,0.0,125.125,127.0,766.0
43578,7,4,-3,0.0,125.5,157.1,575.0
44210,7,5,-2,0.0,126.625,126.91666666666667,632.0
44976,7,5,-2,0.0,125.625,126.83333333333333,766.0
45656,7,5,-2,0.0,126.5,127.0,680.0
46325,7,5,-2,0.0,126.25,126.83333333333333,669.0
47035,7,4,-3,0.0,126.5,157.1,710.0
47711,7,6,-1,0.0,125.5,127.9090909090909,676.0
48245,7,3,-4,0.0,125.625,135.44444444444446,534.0
48954,7,6,-1,0.0,124.875,127.63636363636364,709.0
49477,7,5,-2,0.0,126.25,126.83333333333333,523.0
50281,7,5,-2,0.0,126.5,126.91666666666667,804.0
51022,7,6,-1,0.0,125.625,128.45454545454547,741.0
51766,7,5,-2,0.0,125.625,126.66666666666667,744.0
52388,7,4,-3,0.0,125.5,157.2,622.0
52976,7,4,-3,0.0,125.875,157.2,588.0
53598,7,3,-4,0.0,125.75,135.55555555555554,622.0
54372,7,5,-2,0.0,126.875,126.91666666666667,774.0
55110,7,4,-3,0.0,125.75,157.0,738.0
55867,7,5,-2,0.0,125.75,126.83333333333333,757.0
56634,7,6,-1,0.0,125.5,128.0909090909091,767.0
57391,7,5,-2,0.0,125.75,126.83333333333333,757.0
57996,7,4,-3,0.0,125.5,157.0,605.0
58672,7,4,-3,0.0,125.875,157.1,676.0
59315,7,5,-2,0.0,125.875,126.58333333333333,643.0
60138,7,5,-2,0.0,125.625,126.58333333333333,823.0
60763,7,5,-2,0.0,126.0,126.91666666666667,625.0
61630,7,6,-1,0.0,125.625,128.0,867.0
62363,7,5,-2,0.0,126.5,127.0,733.0
63200,7,6,-1,0.0,125.375,128.0909090909091,837.0
63825,7,5,-2,0.0,125.625,127.0,625.0
64577,7,5,-2,0.0,126.125,127.16666666666667,752.0
65358,6,7,1,1.0,139.9090909090909,132.625,781.0
66086,7,5,-2,0.0,126.125,126.66666666666667,728.0
66562,7,3,-4,0.0,126.125,135.66666666666666,476.0
67304,7,4,-3,0.0,126.375,157.1,742.0
68080,7,6,-1,0.0,125.125,128.27272727272728,776.0
68783,7,6,-1,0.0,125.75,127.9090909090909,703.0
69554,7,6,-1,0.0,125.875,128.0909090909091,771.0
70236,7,6,-1,0.0,125.75,128.0909090909091,682.0
70936,7,6,-1,0.0,125.875,128.1818181818182,700.0
71687,7,5,-2,0.0,126.125,126.75,751.0
72319,4,7,3,1.0,147.0,132.75,632.0
72900,7,4,-3,0.0,125.375,157.1,581.0
73580,7,5,-2,0.0,125.375,127.0,680.0
74129,7,4,-3,0.0,125.625,157.3,549.0
74720,7,3,-4,0.0,126.5,135.44444444444446,591.0
75481,7,5,-2,0.0,125.375,126.5,761.0
76336,7,5,-2,0.0,125.375,126.66666666666667,855.0
77064,7,5,-2,0.0,125.625,126.91666666666667,728.0
77767,5,7,2,1.0,138.33333333333334,132.625,703.0
78503,7,4,-3,0.0,126.375,157.1,736.0
79157,7,5,-2,0.0,126.625,126.83333333333333,654.0
79820,7,5,-2,0.0,125.625,127.0,663.0
80533,7,5,-2,0.0,125.5,126.91666666666667,713.0
81179,7,5,-2,0.0,125.5,126.66666666666667,646.0
81919,7,6,-1,0.0,125.875,128.1818181818182,740.0
82845,7,6,-1,0.0,126.5,128.1818181818182,926.0
83620,7,4,-3,0.0,125.5,157.1,775.0
84452,6,7,1,1.0,140.36363636363637,132.625,832.0
85042,7,4,-3,0.0,126.375,157.1,590.0
85709,7,5,-2,0.0,125.625,126.83333333333333,667.0
86314,7,4,-3,0.0,125.375,157.1,605.0
