frame,p1_tko,p3_tko,diff,win,p1_intensity,p3_intensity,frame_diff
927,7,6,-1,0.0,125.875,127.9090909090909,
1731,7,5,-2,0.0,126.625,127.0,804.0
2610,7,6,-1,0.0,126.0,127.9090909090909,879.0
3429,7,5,-2,0.0,125.5,126.91666666666667,819.0
4233,7,5,-2,0.0,125.375,126.25,804.0
5113,6,7,1,1.0,139.9090909090909,132.875,880.0
5822,7,5,-2,0.0,125.75,126.75,709.0
6764,6,6,0,,140.0,127.27272727272727,942.0
7593,5,7,2,1.0,137.16666666666666,132.75,829.0
8112,7,3,-4,0.0,125.25,135.44444444444446,519.0
9033,7,5,-2,0.0,125.5,127.0,921.0
9992,5,6,1,1.0,136.83333333333334,127.45454545454545,959.0
10951,5,6,1,1.0,136.75,127.54545454545455,959.0
11708,7,5,-2,0.0,125.375,127.08333333333333,757.0
12592,7,5,-2,0.0,126.5,126.91666666666667,884.0
13534,7,6,-1,0.0,125.875,128.0909090909091,942.0
14330,7,5,-2,0.0,125.875,127.0,796.0
15210,7,6,-1,0.0,126.5,128.27272727272728,880.0
16086,6,7,1,1.0,139.54545454545453,132.75,876.0
17047,6,6,0,,140.1818181818182,127.45454545454545,961.0
17958,6,7,1,1.0,140.0909090909091,132.75,911.0
18532,7,4,-3,0.0,125.625,157.0,574.0
19465,7,6,-1,0.0,125.375,127.9090909090909,933.0
20230,7,5,-2,0.0,125.75,126.83333333333333,765.0
21110,7,6,-1,0.0,125.5,128.54545454545453,880.0
21820,7,6,-1,0.0,126.125,127.9090909090909,710.0
22658,5,7,2,1.0,136.83333333333334,132.5,838.0
23569,7,5,-2,0.0,125.5,126.41666666666667,911.0
24353,7,4,-3,0.0,126.125,156.8,784.0
25179,5,7,2,1.0,136.66666666666666,132.5,826.0
25966,6,7,1,1.0,140.0909090909091,132.5,787.0
26673,7,4,-3,0.0,126.5,157.5,707.0
27505,7,6,-1,0.0,126.375,127.9090909090909,832.0
28404,7,5,-2,0.0,126.125,126.91666666666667,899.0
29159,7,4,-3,0.0,125.375,157.1,755.0
30064,6,7,1,1.0,140.0,132.75,905.0
30821,7,5,-2,0.0,127.0,126.75,757.0
31629,5,7,2,1.0,136.83333333333334,132.75,808.0
32492,6,7,1,1.0,139.8181818181818,132.75,863.0
