frame,p1_tko,p3_tko,diff,win,p1_intensity,p3_intensity,frame_diff
1313,6,7,1,1.0,140.0909090909091,132.75,
3162,7,6,-1,0.0,125.5,128.0909090909091,1849.0
5178,7,5,-2,0.0,125.875,126.83333333333333,2016.0
6816,7,5,-2,0.0,125.375,127.0,1638.0
8529,5,7,2,1.0,137.08333333333334,132.75,1713.0
10031,6,7,1,1.0,140.0909090909091,132.0,1502.0
12418,7,4,-3,0.0,126.5,157.1,2387.0
14466,6,7,1,1.0,140.1818181818182,132.75,2048.0
16265,7,4,-3,0.0,126.375,157.1,1799.0
18093,6,7,1,1.0,140.63636363636363,132.75,1828.0
20103,7,6,-1,0.0,126.375,127.9090909090909,2010.0
21513,6,7,1,1.0,140.0909090909091,132.5,1410.0
23198,5,7,2,1.0,137.0,132.5,1685.0
25827,7,5,-2,0.0,125.375,126.83333333333333,2629.0
28210,7,3,-4,0.0,125.875,135.11111111111111,2383.0
29457,6,7,1,1.0,140.0,132.5,1247.0
31248,5,7,2,1.0,137.41666666666666,132.5,1791.0
33605,7,4,-3,0.0,125.75,157.1,2357.0
34950,7,5,-2,0.0,125.625,126.83333333333333,1345.0
37326,7,6,-1,0.0,126.375,127.9090909090909,2376.0
39071,7,5,-2,0.0,125.875,127.0,1745.0
41035,7,4,-3,0.0,125.875,157.1,1964.0
43184,6,7,1,1.0,140.0909090909091,132.75,2149.0
45684,7,6,-1,0.0,126.125,128.0909090909091,2500.0
48053,7,4,-3,0.0,126.5,157.1,2369.0
49316,5,7,2,1.0,137.08333333333334,132.875,1263.0
50652,7,6,-1,0.0,125.0,128.1818181818182,1336.0
51825,7,4,-3,0.0,125.5,157.1,1173.0
54595,3,7,4,1.0,135.11111111111111,132.5,2770.0
56451,6,7,1,1.0,140.0909090909091,132.5,1856.0
59883,7,6,-1,0.0,125.875,127.9090909090909,3432.0
61859,7,6,-1,0.0,125.5,127.72727272727273,1976.0
65156,7,6,-1,0.0,126.375,127.81818181818181,3297.0
67193,7,6,-1,0.0,126.5,128.1818181818182,2037.0
68922,5,7,2,1.0,137.08333333333334,132.75,1729.0
71478,5,7,2,1.0,137.08333333333334,132.5,2556.0
74260,7,6,-1,0.0,126.5,128.0909090909091,2782.0
76296,6,7,1,1.0,140.0,132.75,2036.0
77596,7,6,-1,0.0,125.375,128.1818181818182,1300.0
78804,7,6,-1,0.0,126.5,127.54545454545455,1208.0
81999,6,7,1,1.0,140.0909090909091,132.375,3195.0
84283,7,6,-1,0.0,125.75,127.9090909090909,2284.0
86153,6,6,0,,139.9090909090909,127.45454545454545,1870.0
