frame,p1_tko,p3_tko,diff,win,p1_intensity,p3_intensity,frame_diff
960,7,5,-2,0.0,125.875,126.83333333333333,
1632,7,3,-4,0.0,126.5,135.44444444444446,672.0
2494,7,4,-3,0.0,126.125,157.1,862.0
3281,7,4,-3,0.0,126.5,157.2,787.0
4188,7,6,-1,0.0,125.375,127.9090909090909,907.0
4969,7,4,-3,0.0,125.75,157.2,781.0
5729,7,3,-4,0.0,126.5,135.55555555555554,760.0
6354,7,3,-4,0.0,126.125,135.33333333333334,625.0
7160,7,6,-1,0.0,126.375,128.27272727272728,806.0
7946,7,5,-2,0.0,125.625,126.58333333333333,786.0
8688,7,4,-3,0.0,126.125,157.0,742.0
9309,7,4,-3,0.0,125.875,156.8,621.0
10006,7,3,-4,0.0,125.25,135.33333333333334,697.0
10806,7,4,-3,0.0,125.375,157.4,800.0
11470,7,3,-4,0.0,125.875,135.44444444444446,664.0
12156,7,4,-3,0.0,125.5,157.4,686.0
12918,7,4,-3,0.0,125.875,157.2,762.0
13699,7,6,-1,0.0,126.375,128.0,781.0
14549,7,5,-2,0.0,125.25,127.0,850.0
15460,6,7,1,1.0,139.9090909090909,132.5,911.0
16223,7,6,-1,0.0,126.375,128.0,763.0
17019,7,6,-1,0.0,125.125,128.0,796.0
17802,7,6,-1,0.0,125.75,128.0909090909091,783.0
18412,7,3,-4,0.0,126.25,135.55555555555554,610.0
19158,7,4,-3,0.0,126.375,157.2,746.0
19900,7,5,-2,0.0,126.375,127.16666666666667,742.0
20681,7,4,-3,0.0,125.875,157.1,781.0
21486,7,6,-1,0.0,125.375,127.9090909090909,805.0
22249,7,5,-2,0.0,125.375,126.66666666666667,763.0
22875,7,3,-4,0.0,125.5,135.33333333333334,626.0
23701,7,6,-1,0.0,126.375,127.9090909090909,826.0
24408,7,6,-1,0.0,126.625,128.0,707.0
25184,7,5,-2,0.0,126.375,126.58333333333333,776.0
26008,7,4,-3,0.0,125.75,157.0,824.0
26672,7,4,-3,0.0,125.625,158.9,664.0
27633,6,6,0,,140.1818181818182,127.27272727272727,961.0
28441,7,5,-2,0.0,125.5,126.66666666666667,808.0
29273,7,5,-2,0.0,125.625,126.83333333333333,832.0
30263,6,5,-1,0.0,140.8181818181818,127.0,990.0
31059,7,5,-2,0.0,126.25,126.75,796.0
31594,7,2,-5,0.0,126.25,134.83333333333334,535.0
32330,7,3,-4,0.0,125.375,135.44444444444446,736.0
33130,7,5,-2,0.0,125.875,126.91666666666667,800.0
33850,7,4,-3,0.0,125.75,157.0,720.0
34533,7,4,-3,0.0,125.625,157.9,683.0
35164,7,4,-3,0.0,125.75,157.1,631.0
35858,7,4,-3,0.0,125.375,157.6,694.0
36557,7,5,-2,0.0,125.625,126.66666666666667,699.0
37104,7,3,-4,0.0,126.125,135.33333333333334,547.0
38046,7,6,-1,0.0,125.25,127.9090909090909,942.0
39026,6,6,0,,139.72727272727272,127.54545454545455,980.0
39907,7,5,-2,0.0,126.125,126.66666666666667,881.0
40714,7,6,-1,0.0,126.0,128.27272727272728,807.0
41396,7,4,-3,0.0,125.5,157.1,682.0
42031,7,3,-4,0.0,125.5,135.44444444444446,635.0
42825,7,5,-2,0.0,127.125,126.83333333333333,794.0
43661,7,5,-2,0.0,126.375,126.83333333333333,836.0
44406,7,5,-2,0.0,125.25,127.33333333333333,745.0
45152,7,4,-3,0.0,126.0,157.0,746.0
45951,7,4,-3,0.0,125.375,157.1,799.0
46621,7,4,-3,0.0,125.5,157.3,670.0
47276,7,3,-4,0.0,125.625,135.33333333333334,655.0
47975,7,5,-2,0.0,125.125,126.75,699.0
48663,7,5,-2,0.0,125.5,126.75,688.0
49584,7,6,-1,0.0,125.5,128.0909090909091,921.0
50429,7,6,-1,0.0,125.375,128.0909090909091,845.0
51116,7,3,-4,0.0,126.625,135.44444444444446,687.0
51934,7,6,-1,0.0,125.375,128.0909090909091,818.0
52616,7,3,-4,0.0,125.75,135.33333333333334,682.0
53467,7,6,-1,0.0,125.5,127.9090909090909,851.0
54386,7,4,-3,0.0,126.125,157.1,919.0
54972,7,3,-4,0.0,125.375,135.44444444444446,586.0
55520,7,3,-4,0.0,126.0,135.44444444444446,548.0
56248,7,4,-3,0.0,126.25,156.9,728.0
56970,7,4,-3,0.0,126.375,157.2,722.0
57842,7,6,-1,0.0,126.25,128.36363636363637,872.0
58636,7,4,-3,0.0,125.75,157.2,794.0
59396,7,4,-3,0.0,125.5,157.1,760.0
60045,7,4,-3,0.0,126.5,157.5,649.0
60804,7,4,-3,0.0,125.25,157.3,759.0
61528,6,7,1,1.0,140.1818181818182,132.75,724.0
62333,7,5,-2,0.0,126.0,126.83333333333333,805.0
63127,7,5,-2,0.0,126.5,127.0,794.0
63726,7,3,-4,0.0,125.875,135.44444444444446,599.0
64437,7,4,-3,0.0,125.75,157.2,711.0
65155,7,4,-3,0.0,125.5,157.2,718.0
65932,7,4,-3,0.0,126.0,156.8,777.0
66761,7,5,-2,0.0,125.875,126.91666666666667,829.0
67511,7,4,-3,0.0,125.5,157.1,750.0
68241,7,4,-3,0.0,126.5,157.2,730.0
68960,7,4,-3,0.0,125.5,157.1,719.0
69768,7,4,-3,0.0,126.125,157.1,808.0
70628,7,6,-1,0.0,126.25,128.0909090909091,860.0
71406,7,5,-2,0.0,125.625,127.08333333333333,778.0
72046,7,4,-3,0.0,126.5,157.1,640.0
72847,7,3,-4,0.0,125.875,135.44444444444446,801.0
73703,5,7,2,1.0,137.0,132.5,856.0
74508,7,4,-3,0.0,126.625,157.2,805.0
75272,7,6,-1,0.0,126.125,127.9090909090909,764.0
76250,7,6,-1,0.0,125.5,127.9090909090909,978.0
76929,7,4,-3,0.0,126.125,157.0,679.0
77758,7,5,-2,0.0,126.125,127.0,829.0
78533,7,5,-2,0.0,125.75,127.08333333333333,775.0
79110,7,3,-4,0.0,125.75,135.44444444444446,577.0
79952,7,4,-3,0.0,125.375,157.1,842.0
80639,7,4,-3,0.0,125.875,157.2,687.0
81201,7,4,-3,0.0,125.625,157.2,562.0
81939,7,4,-3,0.0,126.25,157.2,738.0
82728,7,5,-2,0.0,126.0,126.75,789.0
83479,7,4,-3,0.0,125.5,157.1,751.0
84277,7,4,-3,0.0,125.75,157.1,798.0
84888,7,4,-3,0.0,125.625,156.9,611.0
85675,7,5,-2,0.0,126.875,127.0,787.0
